id,nombre,archetype,rule_id,inconsistency,severity,health_score
cn_ambia,Ambia,asian_fusion_premium,archetype_drift,arquetipo asignado (asian_fusion_premium) != detectado (casual_dining),5,100.0
cn_applebee_s,Applebee's,american_casual_chain,archetype_drift,arquetipo asignado (american_casual_chain) != detectado (casual_dining),5,100.0
cn_bento_box,Bento Box,asian_fast_casual,archetype_drift,arquetipo asignado (asian_fast_casual) != detectado (casual_dining),5,100.0
cn_bisque,Bisque,french_bistro,archetype_drift,arquetipo asignado (french_bistro) != detectado (premium_fine),5,100.0
cn_casa_chapina,Casa Chapina,guatemalteca_signature,archetype_drift,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),5,100.0
cn_chili_s,Chili's,american_casual_chain,archetype_drift,arquetipo asignado (american_casual_chain) != detectado (casual_dining),5,100.0
cn_cielito_lindo,Cielito Lindo,mexican_casual_chain,archetype_drift,arquetipo asignado (mexican_casual_chain) != detectado (casual_dining),5,100.0
cn_comida_china_moon,Comida China Moon,asian_fast_casual,archetype_drift,arquetipo asignado (asian_fast_casual) != detectado (casual_dining),5,100.0
cn_del_griego,Del Griego,mediterranean_premium,archetype_drift,arquetipo asignado (mediterranean_premium) != detectado (casual_dining),5,100.0
cn_denny_s,Denny's,american_casual_chain,archetype_drift,arquetipo asignado (american_casual_chain) != detectado (casual_dining),5,100.0
cn_diaca,Diaca,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (premium_fine),5,100.0
cn_dumbo,Dumbo,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (casual_dining),5,100.0
cn_el_adobe,El Adobe,guatemalteca_signature,archetype_drift,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),5,100.0
cn_estacion_santo_domingo,Estacion Santo Domingo,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (casual_dining),5,100.0
cn_fiorellino,Fiorellino,italian_casual,archetype_drift,arquetipo asignado (italian_casual) != detectado (italian_premium),5,100.0
cn_frida_kahlo,Frida Kahlo,mexican_signature,archetype_drift,arquetipo asignado (mexican_signature) != detectado (casual_dining),5,100.0
cn_gramo,Gramo,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (casual_dining),5,100.0
cn_hibachi,Hibachi,japanese_premium,archetype_drift,arquetipo asignado (japanese_premium) != detectado (casual_dining),5,100.0
cn_ihop,IHOP,cafe_brunch,archetype_drift,arquetipo asignado (cafe_brunch) != detectado (casual_dining),5,100.0
cn_isabelle,Isabelle,french_bistro,archetype_drift,arquetipo asignado (french_bistro) != detectado (casual_dining),5,100.0
cn_kacao,Kacao,guatemalteca_signature,archetype_drift,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),5,100.0
cn_la_finka,La Finka,guatemalteca_signature,archetype_drift,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),5,100.0
cn_la_veinte,La Veinte,mexican_signature,archetype_drift,arquetipo asignado (mexican_signature) != detectado (casual_dining),5,100.0
cn_le_crepe,Le Crepe,cafe_brunch,archetype_drift,arquetipo asignado (cafe_brunch) != detectado (casual_dining),5,100.0
cn_los_cebollines,Los Cebollines,mexican_casual_chain,archetype_drift,arquetipo asignado (mexican_casual_chain) != detectado (casual_dining),5,100.0
cn_los_tres_tiempos,Los Tres Tiempos,guatemalteca_signature,archetype_drift,arquetipo asignado (guatemalteca_signature) != detectado (casual_dining),5,100.0
cn_mantarraya,Mantarraya,mediterranean_premium,archetype_drift,arquetipo asignado (mediterranean_premium) != detectado (casual_dining),5,100.0
cn_marena,Marena,mediterranean_premium,archetype_drift,arquetipo asignado (mediterranean_premium) != detectado (premium_fine),5,100.0
cn_nifu_nifa,Nifu Nifa,asian_fast_casual,archetype_drift,arquetipo asignado (asian_fast_casual) != detectado (casual_dining),5,100.0
cn_nikkei,Nikkei,asian_fusion_premium,archetype_drift,arquetipo asignado (asian_fusion_premium) != detectado (casual_dining),5,100.0
cn_p_f_chang_s,P.F. Chang's,asian_fusion_premium,archetype_drift,arquetipo asignado (asian_fusion_premium) != detectado (casual_dining),5,100.0
cn_paisano,Paisano,italian_casual,archetype_drift,arquetipo asignado (italian_casual) != detectado (italian_premium),5,100.0
cn_paligo,Paligo,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (casual_dining),5,100.0
cn_punto_mediterraneo,Punto Mediterraneo,mediterranean_premium,archetype_drift,arquetipo asignado (mediterranean_premium) != detectado (casual_dining),5,100.0
cn_saint_honore,Saint Honore,french_bistro,archetype_drift,arquetipo asignado (french_bistro) != detectado (casual_dining),5,100.0
cn_saul,Saúl,cafe_brunch,archetype_drift,arquetipo asignado (cafe_brunch) != detectado (casual_dining),5,100.0
cn_shiro,Shiro,japanese_premium,archetype_drift,arquetipo asignado (japanese_premium) != detectado (premium_fine),5,100.0
cn_tony_roma_s,Tony Roma's,american_casual_chain,archetype_drift,arquetipo asignado (american_casual_chain) != detectado (casual_dining),5,100.0
cn_tul_y_tul,Tul y Tul,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (casual_dining),5,100.0
cn_zest,Zest,fusion_premium,archetype_drift,arquetipo asignado (fusion_premium) != detectado (casual_dining),5,100.0
